Nimi	Seura	PP	+-	YV	AV	HPA	PPA	Aika	YVA	YV2A	AVA	AV2A
Nurkkala, Jani	Jukurit	VH	0	0	0	4	11	384	0	0	0	0
Pajuniemi, Lauri	TPS	OH	7	1	0	105	121	661	3639	27	10	0
Laitamaki, Juho-Erik	Sport	OP	0	0	0	0	2	47	0	0	29	0
Akerman, Tobias	Sport	OP	0	0	0	0	0	0	0	0	0	0
Ikonen, Joona	Ilves	OH	10	0	0	255	178	740	2690	42	52	0
Tammi, Valtteri	Assat	KH	0	0	0	8	19	481	28	0	4	0
Kaskinen, Olli	TPS	VP	0	0	0	9	10	167	0	0	33	0
Ratinen, Samuli	JYP	VH	0	0	0	9	17	718	180	0	0	0
Erkkila, Jere	Sport	KH	0	0	0	64	74	545	150	0	0	0
Salmela, Santeri	KooKoo	VP	12	0	0	146	184	959	310	0	3332	118
Lehtimaki, Miro	Sport	OH	0	0	0	14	18	271	446	0	0	0
Makitalo, Roope	Pelicans	OH	1	0	0	10	6	578	84	0	0	0
Hamalainen, Janne	HIFK	OH	2	0	0	257	253	822	5707	32	2846	34
Maki, Eetu	Sport	OH	1	0	0	4	20	199	4	0	0	0
Koski, Eetu	SaiPa	KH	7	0	0	90	93	571	257	16	545	0
Kuusisto, Jaakko	HPK	VH	2	0	0	77	69	541	64	0	146	0
Torikka, Kasperi	SaiPa	VP	0	0	0	13	9	351	18	0	90	0
Koskinen, Niki	KooKoo	KH	0	0	0	17	16	458	69	0	125	0
Sjoholm, Sebastian	SaiPa	VH	1	0	0	6	7	445	9	0	0	0
Pakkila, Eetu	Karpat	VH	0	0	0	7	2	881	0	0	0	0
Engberg, Teemu	HIFK	VH	6	0	0	246	212	743	2217	0	3747	24
Seppala, Peetro	KooKoo	VP	0	0	0	11	17	370	46	0	17	0
Rasanen, Ville	Jukurit	OP	0	0	0	17	23	761	109	0	18	0
Winberg, Tobias	HIFK	VP	0	0	0	0	0	0	0	0	0	0
Alho, Aku	Jukurit	VP	4	0	0	49	46	730	26	0	178	0
Linjala, Miiro	Jukurit	VH	0	0	0	3	0	153	16	0	0	0
Sulak, Libor	Pelicans	OP	42	4	0	372	266	1426	9134	196	5280	74
Verlic, Miha	JYP	VH	3	0	0	17	16	741	20	0	249	0
VandeVelde, Chris	Lukko	VH	19	1	0	144	172	1164	4474	19	3137	210
Kaksonen, Elmeri	SaiPa	VH	31	3	1	110	136	712	3652	0	854	0
Sebok, Balazs	KalPa	KH	35	2	0	294	239	951	8195	137	244	0
Stromwall, Malte	KooKoo	OH	18	5	0	195	234	1058	6254	197	256	0
Carlsson, Patrik	HIFK	KH	32	0	0	270	280	1001	7579	0	6245	0
Maansaari, Olli	HPK	KH	2	0	0	3	5	518	8	0	0	0
McRae, Philip	Assat	KH	16	3	0	228	226	1001	5869	0	2546	22
Honka, Anttoni	JYP	OP	15	0	0	104	84	692	1289	0	36	0
Ekestahl-Jonsson, Lucas	TPS	VP	42	2	0	302	285	966	6199	16	1359	0
DAmigo, Jerry	KalPa	OH	22	0	0	171	202	624	1242	0	1040	0
Denisov, Vladimir	SaiPa	VP	5	0	0	47	41	1188	115	0	1072	105
Zaborsky, Tomas	Tappara	VH	29	3	0	343	316	975	8446	29	31	0
Wilson, Ryan	KalPa	VP	30	0	0	202	224	1105	1007	0	4991	0
Wrenn, William	Lukko	OP	16	0	0	184	206	1213	2507	161	3791	0
Niemi, Jyri	KooKoo	OP	16	1	0	175	200	995	1169	0	3986	162
Koblizek, Radek	Karpat	OH	2	0	0	46	37	639	98	0	0	0
Jurgens, Casimir	Pelicans	VP	33	1	0	424	360	1329	8775	64	9099	144
Flood, Mark	Ilves	OP	23	0	0	202	197	1242	7624	33	4694	204
Maia, Bastien	SaiPa	OH	5	0	0	56	82	479	155	0	96	0
Huttula, Joona	Karpat	VP	4	0	0	30	44	596	35	0	144	0
Laaksonen, Oskari	Ilves	OP	4	0	0	84	52	681	1690	0	0	0
Ikonen, Jasse	Karpat	VH	18	1	0	36	36	446	42	0	0	0
Fraser, Mark	TPS	VP	21	0	0	165	203	1027	48	0	4487	40
Piskula, Joe	Ilves	VP	35	0	0	357	296	1285	2815	0	7442	325
Juutilainen, Jan-Mikael	KooKoo	KH	8	0	0	325	272	1163	10097	126	5733	6
Allen, Roni	JYP	OP	1	0	0	36	31	648	163	0	190	0
Laitamaki, Elias	Sport	VP	1	0	0	9	41	856	0	0	19	0
